Date,Open,High,Low,Close,Adj Close,Volume
2014-10-29,172.0,172.432999,167.367004,169.766998,162.970245,8910856
2014-10-30,169.266998,171.0,167.466995,170.067001,163.258224,11375292
2014-10-31,170.533005,171.867004,168.667007,171.132996,164.281555,5712303
2014-11-03,172.0,172.199997,167.567001,168.899994,162.137955,5005062
2014-11-05,168.832993,173.332993,168.332993,171.966995,165.082138,8148459
2014-11-07,170.667007,174.567001,165.367004,166.0,159.354034,6373646
2014-11-10,166.067001,170.867004,165.800003,167.266998,160.570328,4812807
2014-11-11,166.100006,166.332993,161.600006,163.533005,156.985825,4891354
2014-11-12,163.332993,167.5,163.332993,164.966995,158.362396,4999634
2014-11-13,165.399994,168.800003,163.667007,165.199997,158.586075,7204749
2014-11-14,163.667007,165.867004,157.432999,163.899994,157.33810400000002,12942668
2014-11-17,162.167007,167.167007,160.466995,166.100006,159.450058,5413863
2014-11-18,166.632996,170.233002,166.567001,169.466995,162.682251,5712708
2014-11-19,169.567001,171.132996,164.832993,166.067001,159.418396,5617890
2014-11-20,164.800003,166.667007,160.332993,163.867004,157.306473,4611801
2014-11-21,163.0,169.233002,163.0,168.167007,161.43428,4455057
2014-11-24,168.100006,172.800003,168.100006,171.766998,164.890182,5707977
2014-11-25,172.0,177.733002,172.0,177.0,169.913651,13803248
2014-11-26,177.0,182.199997,175.600006,180.733002,173.497208,9275678
2014-11-27,180.067001,191.832993,179.067001,189.466995,181.881516,19671136
2014-11-28,190.632996,191.266998,187.033005,189.199997,181.625214,9096285
2014-12-01,187.832993,188.632996,182.0,182.800003,175.48146100000002,3849297
2014-12-02,182.533005,185.667007,179.667007,180.966995,173.721817,4482507
2014-12-03,181.332993,188.966995,181.332993,185.533005,178.105026,8905510
2014-12-04,187.533005,188.233002,181.332993,182.600006,175.289444,6053596
2014-12-05,183.332993,185.399994,180.733002,181.466995,174.201843,3945606
2014-12-08,181.699997,183.5,174.5,177.966995,170.841934,5740376
2014-12-09,177.033005,178.533005,172.0,172.867004,165.94613600000002,4912383
2014-12-10,171.332993,175.667007,168.199997,168.733002,161.977631,7536988
2014-12-11,167.699997,174.533005,165.899994,169.300003,162.521927,8835136
2014-12-12,170.399994,171.600006,162.533005,164.899994,158.298096,6288244
2014-12-15,163.266998,168.533005,162.466995,165.867004,159.226364,5304878
2014-12-16,164.0,169.266998,164.0,165.199997,158.586075,9279770
2014-12-17,164.667007,166.5,160.332993,163.367004,156.82646200000002,6841050
2014-12-18,165.667007,172.466995,165.667007,171.567001,164.698196,6877452
2014-12-19,174.0,177.132996,172.067001,172.699997,165.78581200000002,6656338
2014-12-22,173.100006,178.0,172.733002,177.300003,170.20164499999998,6822944
2014-12-23,177.332993,179.800003,173.667007,174.399994,167.41773999999998,6441272
2014-12-24,175.266998,176.233002,168.332993,169.699997,162.90593,11667561
2014-12-26,171.332993,171.733002,166.699997,167.699997,160.98599199999998,4297560
2014-12-29,168.399994,171.332993,168.399994,169.667007,162.874252,2926317
2014-12-30,170.0,172.899994,169.367004,172.233002,165.337494,3221614
2014-12-31,170.932999,178.300003,170.199997,176.832993,169.753342,8045835
2015-01-01,177.067001,179.966995,175.699997,179.033005,171.86525,4694068
2015-01-02,179.600006,184.632996,179.332993,183.533005,176.185104,6176788
2015-01-05,184.0,185.600006,180.067001,182.266998,174.969788,4562988
2015-01-06,180.600006,180.667007,173.0,173.966995,167.00206,5676498
2015-01-07,173.100006,173.966995,166.667007,169.233002,162.457611,6781173
2015-01-08,172.0,174.132996,170.766998,171.699997,164.825851,4579558
2015-01-09,172.167007,174.100006,167.332993,169.832993,163.03358500000002,3800550
2015-01-12,169.733002,172.667007,168.733002,171.766998,164.890182,2713641
2015-01-13,173.466995,177.332993,170.167007,171.667007,164.794189,5782050
2015-01-14,171.932999,180.533005,171.932999,179.167007,171.99391200000002,6791280
2015-01-15,181.332993,183.932999,176.667007,179.300003,172.12158200000002,7668231
2015-01-16,178.332993,183.233002,176.432999,182.567001,175.25778200000002,5929110
2015-01-19,182.800003,188.266998,182.033005,187.367004,179.865601,5226327
2015-01-20,189.033005,189.332993,185.533005,187.5,179.993286,6902265
2015-01-21,188.0,189.0,184.733002,188.367004,180.825577,5599384
2015-01-22,188.966995,191.567001,187.233002,189.632996,182.040863,6014205
2015-01-23,190.699997,192.266998,184.867004,186.067001,178.61764499999998,7540984
2015-01-27,190.100006,191.0,186.332993,187.932999,180.40892,6309520
2015-01-28,187.332993,188.300003,182.100006,186.167007,178.71363799999997,7454415
2015-01-29,185.667007,193.266998,184.0,191.932999,184.248795,7405209
2015-01-30,192.667007,198.533005,190.332993,194.5,186.713028,8632012
2015-02-02,194.266998,197.667007,193.432999,195.899994,188.056961,4353852
2015-02-03,197.300003,199.300003,194.132996,198.067001,190.137222,4835320
2015-02-04,199.332993,200.0,189.332993,190.0,182.393204,5060523
2015-02-05,191.266998,193.199997,182.733002,184.567001,177.177719,5206514
2015-02-06,184.632996,186.167007,175.5,176.100006,169.049698,6729909
2015-02-09,174.332993,177.332993,171.399994,172.367004,165.466125,3354183
2015-02-10,170.332993,178.0,170.332993,174.332993,167.353424,3927507
2015-02-11,175.332993,176.699997,169.067001,170.300003,163.48190300000002,4294812
2015-02-12,169.332993,179.600006,167.167007,178.466995,171.32193,9512382
2015-02-13,167.332993,175.899994,167.332993,172.899994,165.97778300000002,13845936
2015-02-16,172.899994,174.300003,170.0,173.033005,166.625885,4907550
2015-02-18,172.667007,175.632996,171.399994,173.466995,167.043808,3404049
2015-02-19,173.699997,176.199997,171.067001,174.533005,168.07034299999998,4355154
2015-02-20,175.199997,184.199997,175.0,183.5,176.705307,9851290
2015-02-23,184.667007,184.667007,180.5,181.699997,174.971939,5242173
2015-02-24,182.0,186.233002,180.699997,185.167007,178.310608,6955340
2015-02-25,186.332993,187.832993,181.167007,182.800003,176.031235,4782459
2015-02-26,181.800003,184.632996,174.832993,176.300003,169.771927,14242278
2015-02-27,178.0,181.432999,177.033005,180.600006,173.912689,5570446
2015-03-02,175.632996,183.533005,175.632996,182.5,175.742325,8863410
2015-03-03,182.5,183.867004,178.766998,183.167007,176.384659,5711361
2015-03-04,184.199997,185.800003,179.0,180.600006,173.912689,5368972
2015-03-05,182.0,182.466995,177.367004,180.233002,173.55928,3148335
2015-03-09,178.0,178.632996,171.300003,172.399994,166.016312,3937046
2015-03-10,173.332993,175.266998,170.132996,172.733002,166.33699,3388863
2015-03-11,173.266998,175.266998,170.399994,171.932999,165.566605,4336518
2015-03-12,173.300003,176.632996,172.667007,176.033005,169.51478600000002,2993826
2015-03-13,176.932999,177.567001,169.0,169.832993,163.54435700000002,3625520
2015-03-16,170.766998,173.600006,167.733002,172.733002,166.33699,4775822
2015-03-17,173.600006,177.199997,172.167007,176.533005,169.996277,3152625
2015-03-18,177.132996,177.432999,171.167007,171.800003,165.438522,4190058
2015-03-19,173.899994,174.533005,167.932999,170.399994,164.090363,2782710
2015-03-20,168.667007,170.266998,163.332993,163.832993,157.766541,5179126
2015-03-23,164.199997,164.399994,157.0,157.867004,152.021469,5466642
2015-03-24,156.667007,161.667007,155.332993,160.0,154.07548500000001,4632146
2015-03-25,160.600006,160.800003,156.766998,157.766998,151.92514,3697994
2015-03-26,156.667007,163.0,156.100006,157.233002,151.410934,7407238
2015-03-27,158.0,159.033005,152.0,155.199997,149.453217,4480102
2015-03-30,156.667007,159.932999,154.800003,159.167007,153.2733,4548237
2015-03-31,159.966995,161.332993,155.332993,156.899994,151.090256,5933668
2015-04-01,157.199997,157.332993,153.067001,153.800003,148.105042,5019112
2015-04-06,153.567001,158.932999,151.733002,156.733002,150.929443,7298490
2015-04-07,155.0,156.832993,152.466995,155.667007,149.902908,4446670
2015-04-08,156.667007,159.600006,156.0,157.266998,151.44366499999998,5247312
2015-04-09,157.699997,158.699997,153.667007,155.100006,149.356918,3581360
2015-04-10,155.533005,158.199997,154.867004,156.399994,150.608749,3367534
2015-04-13,156.667007,162.966995,156.667007,161.766998,155.77702299999999,6016558
2015-04-15,161.332993,162.533005,153.533005,154.932999,149.196075,6140498
2015-04-16,155.367004,156.567001,152.800003,154.667007,148.939957,3803406
2015-04-17,154.466995,158.0,154.033005,156.567001,150.769592,3632844
2015-04-20,157.733002,157.733002,150.132996,153.266998,147.59176599999998,3135909
2015-04-21,153.266998,155.567001,150.667007,151.332993,145.729385,4397890
2015-04-22,151.399994,154.533005,148.367004,153.867004,148.169586,5182029
2015-04-23,155.533005,156.567001,153.667007,155.533005,149.77389499999998,3146894
2015-04-24,156.199997,157.100006,154.167007,156.0,150.223587,4282334
2015-04-27,157.067001,157.266998,150.067001,150.867004,145.280655,3938541
2015-04-28,151.0,159.067001,149.800003,155.300003,149.54951499999999,6003312
2015-04-29,155.199997,156.600006,152.699997,154.766998,149.03624,2819844
2015-04-30,154.332993,162.132996,150.399994,158.699997,152.823608,10635402
2015-05-04,160.600006,164.667007,158.832993,163.432999,157.381348,4249646
2015-05-05,163.667007,166.0,161.332993,163.432999,157.381348,3511611
2015-05-06,162.332993,162.667007,152.567001,153.132996,147.462738,4722240
2015-05-07,152.0,155.399994,149.399994,152.466995,146.821411,4260034
2015-05-08,154.5,155.899994,153.332993,154.233002,148.522018,2197642
2015-05-11,154.800003,158.932999,151.932999,156.466995,150.673294,4653870
2015-05-12,156.466995,156.533005,147.699997,148.399994,142.904984,5113764
2015-05-13,149.667007,152.332993,148.067001,151.832993,146.210876,4054598
2015-05-14,151.800003,153.932999,149.167007,153.332993,147.655319,4614879
2015-05-15,153.600006,155.932999,151.399994,153.966995,148.26586899999998,2624144
2015-05-18,154.0,156.667007,152.932999,156.367004,150.576996,2275502
2015-05-19,156.0,159.966995,154.932999,156.766998,150.962189,3620634
2015-05-20,156.800003,158.466995,152.800003,154.100006,148.393921,3444466
2015-05-21,154.100006,155.632996,151.733002,154.966995,149.22882099999998,3400150
2015-05-22,155.266998,157.100006,153.667007,156.0,150.223587,2397267
2015-05-25,155.367004,158.233002,152.867004,156.100006,150.319885,4211997
2015-05-26,154.167007,164.567001,153.432999,160.966995,155.00663799999998,13087288
2015-05-27,160.0,168.533005,159.332993,166.567001,160.399292,10294650
2015-05-28,166.667007,169.966995,164.067001,168.466995,162.228943,10853432
2015-05-29,167.0,172.0,164.966995,167.766998,161.554886,7202972
2015-06-01,167.399994,171.100006,167.0,169.367004,163.095627,4051272
2015-06-02,170.533005,171.667007,165.832993,167.399994,161.20146200000002,5314372
2015-06-03,168.733002,170.199997,160.466995,163.899994,157.83103899999998,5556276
2015-06-04,164.600006,166.466995,161.399994,165.332993,159.210999,2846427
2015-06-05,164.699997,168.0,163.432999,164.5,158.408844,3302854
2015-06-08,164.0,164.233002,160.832993,162.033005,156.03320300000001,2317689
2015-06-09,160.800003,163.800003,160.067001,160.899994,154.94215400000002,2767118
2015-06-10,161.932999,168.332993,161.667007,167.5,161.297745,6025344
2015-06-11,168.100006,168.932999,161.733002,162.5,156.48289499999998,4344642
2015-06-12,162.0,166.332993,161.266998,165.533005,159.403595,3599832
2015-06-15,165.667007,167.533005,164.233002,165.199997,159.08291599999998,3667803
2015-06-16,165.332993,165.332993,161.600006,163.733002,157.670273,2821882
2015-06-17,164.466995,164.533005,160.067001,160.533005,154.58873,4538756
2015-06-18,161.167007,163.932999,161.033005,162.167007,156.162247,2654031
2015-06-19,162.932999,162.932999,158.766998,160.832993,154.877625,3859863
2015-06-22,162.033005,166.0,161.667007,164.432999,158.344299,3030334
2015-06-23,164.699997,167.300003,161.800003,162.533005,156.514679,3785488
2015-06-24,162.667007,171.800003,162.132996,169.399994,163.12738000000002,10985920
2015-06-25,168.332993,173.300003,168.332993,170.667007,164.34750400000001,9313326
2015-06-26,169.899994,170.132996,165.332993,167.300003,161.105164,4173818
2015-06-29,164.667007,165.932999,161.867004,164.832993,158.729492,3218274
2015-06-30,164.567001,167.167007,164.033005,165.266998,159.14743,3831690
2015-07-01,164.867004,172.766998,164.867004,171.800003,165.438522,6124280
2015-07-02,171.667007,173.067001,169.367004,170.533005,164.21846000000002,4175061
2015-07-03,171.667007,174.932999,171.667007,172.733002,166.33699,4249372
2015-07-06,169.266998,173.800003,168.432999,173.332993,166.91478,2605689
2015-07-07,173.667007,175.067001,171.199997,172.667007,166.273438,3786822
2015-07-08,170.667007,171.332993,165.733002,170.466995,164.154877,5265988
2015-07-09,170.932999,177.199997,169.832993,176.199997,169.675598,7772600
2015-07-10,178.699997,180.199997,176.800003,179.067001,172.436462,6992448
2015-07-13,179.100006,180.432999,176.832993,179.567001,172.917923,3626259
2015-07-14,179.600006,183.132996,178.533005,182.100006,175.35716200000002,5184459
2015-07-15,182.0,184.300003,181.199997,182.367004,175.614258,3965324
2015-07-16,182.332993,188.0,181.466995,186.800003,179.883118,5043882
2015-07-17,186.667007,191.867004,186.5,191.033005,183.959366,5815546
2015-07-20,190.0,190.0,186.199997,188.233002,181.26306200000002,3803104
2015-07-21,188.266998,193.332993,186.367004,189.100006,182.097946,4262800
2015-07-22,188.533005,191.266998,187.233002,189.966995,182.932831,3591255
2015-07-23,191.867004,192.632996,188.332993,189.766998,182.74023400000002,3363750
2015-07-24,189.332993,191.332993,186.332993,186.899994,179.979401,2932654
2015-07-27,186.332993,188.132996,180.667007,181.332993,174.618546,3618868
2015-07-28,181.733002,186.667007,181.733002,185.932999,179.048218,4435752
2015-07-29,186.167007,190.332993,185.332993,189.067001,182.06616200000002,3711084
2015-07-30,190.667007,192.067001,188.399994,191.266998,184.18469199999998,5269528
2015-07-31,191.332993,193.100006,184.832993,185.567001,178.69576999999998,5022340
2015-08-03,183.932999,191.632996,183.466995,188.632996,181.648224,5909841
2015-08-04,189.100006,190.332993,185.466995,187.867004,180.910599,3971036
2015-08-05,188.167007,191.966995,186.100006,187.033005,180.107483,3488721
2015-08-06,188.0,190.667007,186.0,188.300003,181.32756,3500584
2015-08-07,189.266998,189.300003,166.832993,177.432999,170.862946,30387123
2015-08-10,174.466995,183.199997,173.100006,181.632996,174.90743999999998,14651772
2015-08-11,182.466995,182.600006,177.332993,178.033005,171.44072,3455772
